Date time,Wind (m/s),Tout (°C)
26. 07. 2019 19:20,-0.87,25.1
26. 07. 2019 19:30,-0.85,24.7
26. 07. 2019 19:40,-0.77,24.3
26. 07. 2019 19:50,-0.84,24.4
26. 07. 2019 20:00,-0.83,24.5
26. 07. 2019 20:10,-0.83,24.5
26. 07. 2019 20:20,-0.85,23.9
26. 07. 2019 20:30,-0.74,23.2
26. 07. 2019 20:40,-0.9,23.2
26. 07. 2019 20:50,-0.76,23.7
26. 07. 2019 21:40,-0.56,21.4
26. 07. 2019 21:50,-0.56,21.3
26. 07. 2019 22:00,-0.74,21.5
26. 07. 2019 22:10,-0.65,21.2
26. 07. 2019 22:20,-0.63,20.7
26. 07. 2019 22:30,-0.56,20
26. 07. 2019 22:40,-0.34,20
26. 07. 2019 22:50,-0.35,19.6
26. 07. 2019 23:00,-0.63,19.6
26. 07. 2019 23:10,-0.73,19.3
27. 07. 2019 00:00,-0.67,18.9
27. 07. 2019 00:10,-0.75,19
27. 07. 2019 00:20,-0.8,18.4
27. 07. 2019 00:30,-0.8,18.1
27. 07. 2019 00:40,-0.93,18.1
27. 07. 2019 00:50,-0.79,17.8
27. 07. 2019 01:00,-0.59,17.7
27. 07. 2019 01:10,-0.51,17.8
27. 07. 2019 01:20,-0.21,18.1
27. 07. 2019 01:30,-0.69,18.2
27. 07. 2019 01:40,-0.71,18.4
27. 07. 2019 01:50,-0.74,18.5
27. 07. 2019 02:00,-0.64,18.9
27. 07. 2019 02:10,-0.57,18.3
27. 07. 2019 02:20,-0.55,18.9
27. 07. 2019 02:30,-0.54,19.2
27. 07. 2019 02:40,-0.56,19.3
27. 07. 2019 02:50,-0.59,19
27. 07. 2019 03:00,-0.58,18.6
27. 07. 2019 03:10,-0.63,18.4
27. 07. 2019 03:20,-0.65,18.7
27. 07. 2019 03:30,-0.62,18.3
27. 07. 2019 03:40,-0.64,17.9
27. 07. 2019 03:50,-0.6,17.8
27. 07. 2019 04:00,-0.61,18.3
27. 07. 2019 04:10,-0.62,18.8
27. 07. 2019 04:20,-0.56,18.9
27. 07. 2019 04:30,-0.65,18.8
27. 07. 2019 04:40,-0.62,18.9
27. 07. 2019 04:50,-0.6,19.1
27. 07. 2019 05:00,-0.48,18.8
27. 07. 2019 05:10,-0.56,19.6
27. 07. 2019 05:20,-0.61,19.9
27. 07. 2019 05:30,-0.51,20.1
27. 07. 2019 05:40,-0.5,20.3
27. 07. 2019 05:50,-0.41,20.4
27. 07. 2019 06:00,-0.44,20.5
27. 07. 2019 06:20,-0.55,20.5
27. 07. 2019 06:30,-0.63,20.3
27. 07. 2019 06:40,-0.63,20.5
27. 07. 2019 06:50,-0.68,20.7
27. 07. 2019 07:00,-0.65,20.8
27. 07. 2019 07:10,-0.65,20.9
27. 07. 2019 07:20,-0.67,20.9
27. 07. 2019 07:30,-0.67,20.8
27. 07. 2019 07:40,-0.64,21.2
27. 07. 2019 14:50,-0.67,21.4
27. 07. 2019 15:00,-0.58,21.5
27. 07. 2019 15:10,-0.61,21.4
27. 07. 2019 15:20,-0.69,21.2
27. 07. 2019 15:50,-0.78,20.8
27. 07. 2019 16:00,-0.57,20.9
27. 07. 2019 16:10,-0.55,21.3
27. 07. 2019 16:20,-0.61,21.8
27. 07. 2019 16:30,-0.69,22.4
27. 07. 2019 16:40,-0.7,22.6
27. 07. 2019 16:50,-0.71,22.9
27. 07. 2019 17:00,-0.7,23.2
27. 07. 2019 17:10,-0.67,23
27. 07. 2019 17:20,-0.69,23.3
27. 07. 2019 17:30,-0.76,23.9
27. 07. 2019 17:40,-0.78,24.4
27. 07. 2019 17:50,-0.72,25
27. 07. 2019 18:40,-0.66,22.9
27. 07. 2019 18:50,-0.73,22.7
27. 07. 2019 19:00,-0.72,22.5
27. 07. 2019 19:10,-0.71,22.5
27. 07. 2019 19:20,-0.75,22.4
27. 07. 2019 19:30,-0.68,22.4
27. 07. 2019 19:40,-0.76,22.4
27. 07. 2019 19:50,-0.74,22.2
27. 07. 2019 20:00,-0.81,21.8
27. 07. 2019 20:10,-0.78,21.6
27. 07. 2019 20:20,-0.87,21.5
27. 07. 2019 20:30,-0.67,20.8
27. 07. 2019 20:40,-0.69,20.9
27. 07. 2019 20:50,-0.82,21
27. 07. 2019 21:30,-0.47,16.4
27. 07. 2019 21:40,-0.55,16.4
27. 07. 2019 21:50,-0.54,16.4
27. 07. 2019 22:00,-0.5,16.4
27. 07. 2019 22:10,-0.61,16.5
27. 07. 2019 22:20,-0.59,16.5
27. 07. 2019 22:30,-0.6,16.4
27. 07. 2019 22:40,-0.57,16.4
27. 07. 2019 22:50,-0.7,16.3
27. 07. 2019 23:00,-0.68,16.2
27. 07. 2019 23:10,-0.72,16.2
27. 07. 2019 23:20,-0.8,16.2
27. 07. 2019 23:30,-0.65,16.2
27. 07. 2019 23:40,-0.59,16.3
27. 07. 2019 23:50,-0.57,16.2
28. 07. 2019 00:00,-0.82,16.1
28. 07. 2019 00:10,-0.71,16.1
28. 07. 2019 00:20,-0.76,16.1
28. 07. 2019 00:30,-0.82,16
28. 07. 2019 00:40,-0.73,15.9
28. 07. 2019 00:50,-0.69,15.9
28. 07. 2019 01:00,-0.63,15.8
28. 07. 2019 01:10,-0.63,15.9
28. 07. 2019 01:20,-0.63,15.7
28. 07. 2019 01:30,-0.57,15.5
28. 07. 2019 01:40,-0.43,15.5
28. 07. 2019 01:50,-0.51,15.5
28. 07. 2019 02:00,-0.54,15.5
28. 07. 2019 02:10,-0.63,15.5
28. 07. 2019 02:20,-0.64,15.5
28. 07. 2019 02:30,-0.65,15.5
28. 07. 2019 02:40,-0.79,15.5
28. 07. 2019 02:50,-0.74,15.4
28. 07. 2019 03:00,-0.77,15.7
28. 07. 2019 03:10,-0.59,15.8
28. 07. 2019 03:20,-0.52,15.9
28. 07. 2019 03:30,-0.6,15.8
28. 07. 2019 03:40,-0.68,15.7
28. 07. 2019 03:50,-0.82,15.7
28. 07. 2019 04:00,-0.9,15.8
28. 07. 2019 04:10,-0.8,15.9
28. 07. 2019 04:30,-0.71,15.9
28. 07. 2019 04:50,-0.61,15.9
28. 07. 2019 05:00,-0.57,15.9
28. 07. 2019 05:10,-0.73,16
28. 07. 2019 05:30,-0.83,16
28. 07. 2019 06:30,-0.79,16
28. 07. 2019 07:40,-0.19,16.1
28. 07. 2019 07:50,-0.6,16
28. 07. 2019 08:00,-0.71,16
28. 07. 2019 08:10,-0.78,16
28. 07. 2019 11:50,-0.76,17.4
28. 07. 2019 12:10,-0.71,17.4
28. 07. 2019 12:20,-0.81,17.3
28. 07. 2019 13:50,-0.7,17
28. 07. 2019 15:40,-0.51,17.8
28. 07. 2019 15:50,-0.57,17.7
28. 07. 2019 16:00,-0.52,17.5
28. 07. 2019 16:10,-0.49,17.5
28. 07. 2019 16:20,-0.51,17.5
28. 07. 2019 16:30,-0.51,17.5
28. 07. 2019 16:40,-0.53,17.6
28. 07. 2019 16:50,-0.54,17.6
28. 07. 2019 17:00,-0.56,17.7
28. 07. 2019 17:10,-0.51,17.7
28. 07. 2019 17:20,-0.5,17.6
28. 07. 2019 17:30,-0.61,17.5
28. 07. 2019 17:40,-0.67,17.3
28. 07. 2019 18:00,-0.59,17.4
28. 07. 2019 18:10,-0.52,17.3
28. 07. 2019 18:20,-0.59,17.2
28. 07. 2019 18:30,-0.59,17.1
28. 07. 2019 18:40,-0.62,17.1
28. 07. 2019 18:50,-0.65,17
28. 07. 2019 19:00,-0.63,16.9
28. 07. 2019 19:10,-0.7,16.7
28. 07. 2019 19:20,-0.72,16.7
28. 07. 2019 19:30,-0.72,16.6
28. 07. 2019 19:40,-0.69,16.4
28. 07. 2019 19:50,-0.73,16.3
28. 07. 2019 20:00,-0.69,16.3
28. 07. 2019 20:10,-0.73,16.3
28. 07. 2019 20:20,-0.7,16.4
28. 07. 2019 20:30,-0.62,16.5
28. 07. 2019 20:40,-0.61,16.4
28. 07. 2019 20:50,-0.56,16.5
28. 07. 2019 21:00,-0.58,16.4
28. 07. 2019 21:10,-0.56,16.4
28. 07. 2019 21:20,-0.49,16.4
28. 07. 2019 21:30,-0.61,16.5
28. 07. 2019 21:40,-0.6,16.5
28. 07. 2019 21:50,-0.6,16.5
28. 07. 2019 22:30,-0.67,16.7
28. 07. 2019 22:40,-0.59,16.7
28. 07. 2019 22:50,-0.63,16.7
28. 07. 2019 23:00,-0.63,16.7
28. 07. 2019 23:10,-0.62,16.7
28. 07. 2019 23:20,-0.56,16.6
28. 07. 2019 23:30,-0.55,16.5
28. 07. 2019 23:40,-0.48,16.5
28. 07. 2019 23:50,-0.52,16.5
29. 07. 2019 00:00,-0.56,16.4
29. 07. 2019 00:10,-0.59,16.3
29. 07. 2019 00:20,-0.55,16.2
29. 07. 2019 00:30,-0.56,16.3
29. 07. 2019 00:40,-0.57,16.4
29. 07. 2019 00:50,-0.57,16.5
29. 07. 2019 01:00,-0.56,16.5
29. 07. 2019 01:10,-0.56,16.5
29. 07. 2019 01:20,-0.56,16.5
29. 07. 2019 01:30,-0.51,16.4
29. 07. 2019 01:40,-0.52,16.4
29. 07. 2019 01:50,-0.52,16.3
29. 07. 2019 02:00,-0.55,16.3
29. 07. 2019 02:10,-0.54,16.2
29. 07. 2019 02:20,-0.52,16.2
29. 07. 2019 02:30,-0.49,16
29. 07. 2019 02:40,-0.55,16.1
29. 07. 2019 02:50,-0.56,16
29. 07. 2019 03:00,-0.56,15.8
29. 07. 2019 03:10,-0.55,15.8
29. 07. 2019 03:20,-0.54,15.9
29. 07. 2019 03:30,-0.58,16
29. 07. 2019 03:40,-0.59,15.9
29. 07. 2019 03:50,-0.55,15.8
29. 07. 2019 04:00,-0.57,15.7
29. 07. 2019 04:10,-0.53,15.6
29. 07. 2019 04:20,-0.56,15.4
29. 07. 2019 04:30,-0.61,15.4
29. 07. 2019 04:40,-0.6,15.4
29. 07. 2019 04:50,-0.58,15.7
29. 07. 2019 05:10,-0.55,16.3
29. 07. 2019 05:20,-0.56,16.4
29. 07. 2019 05:30,-0.54,16.2
29. 07. 2019 05:40,-0.6,16
29. 07. 2019 05:50,-0.57,15.9
29. 07. 2019 06:00,-0.65,15.9
29. 07. 2019 06:10,-0.55,16
29. 07. 2019 06:20,-0.51,16.2
29. 07. 2019 06:40,-0.54,16.2
29. 07. 2019 06:50,-0.55,16.3
29. 07. 2019 07:00,-0.57,16.4
29. 07. 2019 07:20,-0.51,16.8
29. 07. 2019 07:50,-0.51,17.1
29. 07. 2019 08:00,-0.51,17.2
29. 07. 2019 08:10,-0.52,17.2
29. 07. 2019 08:20,-0.59,17.4
29. 07. 2019 08:30,-0.59,17.5
29. 07. 2019 08:40,-0.61,17.9
29. 07. 2019 08:50,-0.6,18.3
29. 07. 2019 09:00,-0.58,19
29. 07. 2019 09:10,-0.55,19.2
29. 07. 2019 09:20,-0.65,19.2
29. 07. 2019 09:30,-0.63,19.4
29. 07. 2019 10:00,-0.78,20.4
29. 07. 2019 12:30,-0.61,24.1
29. 07. 2019 12:40,-0.66,23.8
29. 07. 2019 12:50,-0.75,23.5
29. 07. 2019 16:40,-0.75,25.2
29. 07. 2019 17:00,-0.76,25.2
29. 07. 2019 17:10,-0.71,24.7
29. 07. 2019 17:20,-0.77,24.8
29. 07. 2019 17:30,-0.77,24.8
29. 07. 2019 17:40,-0.76,24.6
29. 07. 2019 17:50,-0.71,24.6
29. 07. 2019 18:00,-0.73,24.3
29. 07. 2019 18:10,-0.7,24.2
29. 07. 2019 18:20,-0.72,24.1
29. 07. 2019 18:30,-0.74,24
29. 07. 2019 18:40,-0.73,23.8
29. 07. 2019 18:50,-0.7,23.6
29. 07. 2019 19:00,-0.69,23.4
29. 07. 2019 19:10,-0.67,23.1
29. 07. 2019 19:20,-0.67,22.8
29. 07. 2019 19:30,-0.65,22.5
29. 07. 2019 19:40,-0.65,22.1
29. 07. 2019 19:50,-0.67,21.6
29. 07. 2019 20:00,-0.7,21.1
29. 07. 2019 20:10,-0.71,20.7
29. 07. 2019 20:20,-0.69,19.8
29. 07. 2019 20:30,-0.63,19.7
29. 07. 2019 20:40,-0.62,19.7
29. 07. 2019 20:50,-0.65,19.5
29. 07. 2019 21:00,-0.66,18.9
29. 07. 2019 21:10,-0.68,18.8
29. 07. 2019 21:20,-0.64,18.7
29. 07. 2019 21:30,-0.66,18.6
29. 07. 2019 21:40,-0.74,18.4
29. 07. 2019 21:50,-0.74,18.7
29. 07. 2019 22:00,-0.64,18.1
29. 07. 2019 22:10,-0.53,17.7
29. 07. 2019 22:20,-0.51,17.4
29. 07. 2019 22:30,-0.59,17.2
29. 07. 2019 22:40,-0.61,17.4
29. 07. 2019 22:50,-0.66,17.4
29. 07. 2019 23:00,-0.67,17.3
29. 07. 2019 23:10,-0.63,17.2
29. 07. 2019 23:20,-0.61,17.1
29. 07. 2019 23:30,-0.56,16.9
29. 07. 2019 23:40,-0.44,16.6
29. 07. 2019 23:50,-0.55,16.5
30. 07. 2019 00:00,-0.59,16.3
30. 07. 2019 00:10,-0.65,16.4
30. 07. 2019 00:20,-0.65,16.5
30. 07. 2019 00:30,-0.55,16.3
30. 07. 2019 00:40,-0.58,15.9
30. 07. 2019 00:50,-0.56,15.7
30. 07. 2019 01:00,-0.6,15.8
30. 07. 2019 01:10,-0.66,16
30. 07. 2019 01:20,-0.55,15.9
30. 07. 2019 01:30,-0.54,15.6
30. 07. 2019 01:40,-0.53,15.6
30. 07. 2019 01:50,-0.51,15.5
30. 07. 2019 02:00,-0.56,15.3
30. 07. 2019 02:10,-0.48,15.2
30. 07. 2019 02:20,-0.46,15
30. 07. 2019 02:30,-0.52,14.8
30. 07. 2019 02:40,-0.56,15
30. 07. 2019 02:50,-0.55,15.1
30. 07. 2019 03:00,-0.53,15.2
30. 07. 2019 03:10,-0.46,14.9
30. 07. 2019 03:20,-0.38,14.6
30. 07. 2019 03:30,-0.45,14.3
30. 07. 2019 03:40,-0.51,14.4
30. 07. 2019 03:50,-0.51,14.4
30. 07. 2019 04:00,-0.49,14.2
30. 07. 2019 04:10,-0.48,14
30. 07. 2019 04:20,-0.4,13.9
30. 07. 2019 04:30,-0.38,14
30. 07. 2019 04:40,-0.39,14
30. 07. 2019 04:50,-0.4,14
30. 07. 2019 05:00,-0.41,13.9
30. 07. 2019 05:10,-0.41,13.9
30. 07. 2019 05:20,-0.41,13.8
30. 07. 2019 05:30,-0.31,14.2
30. 07. 2019 05:40,-0.37,14.3
30. 07. 2019 05:50,-0.42,14.3
30. 07. 2019 06:00,-0.41,14.3
30. 07. 2019 06:10,-0.37,14.6
30. 07. 2019 06:20,-0.4,14.8
30. 07. 2019 06:30,-0.36,15.1
30. 07. 2019 06:40,-0.4,15.3
30. 07. 2019 06:50,-0.36,15.8
30. 07. 2019 07:00,-0.41,16.1
30. 07. 2019 07:10,-0.39,16.4
30. 07. 2019 07:20,-0.37,16.7
30. 07. 2019 07:30,-0.37,17.2
30. 07. 2019 07:40,-0.35,18.1
30. 07. 2019 07:50,-0.35,18.8
30. 07. 2019 08:00,-0.41,19.3
30. 07. 2019 08:10,-0.33,19.8
30. 07. 2019 08:20,-0.44,20.4
30. 07. 2019 08:30,-0.43,21
30. 07. 2019 08:40,-0.53,21.5
30. 07. 2019 08:50,-0.51,22.2
30. 07. 2019 09:00,-0.52,22.8
30. 07. 2019 09:10,-0.53,23.5
30. 07. 2019 09:20,-0.58,24
30. 07. 2019 09:30,-0.61,24.6
30. 07. 2019 09:40,-0.58,25.3
30. 07. 2019 09:50,-0.65,25.8
30. 07. 2019 10:00,-0.61,26.1
30. 07. 2019 10:10,-0.62,25.9
30. 07. 2019 10:20,-0.63,26.6
30. 07. 2019 10:30,-0.66,26.8
30. 07. 2019 10:40,-0.66,26.6
30. 07. 2019 10:50,-0.66,26.7
30. 07. 2019 11:00,-0.64,27.1
30. 07. 2019 11:10,-0.58,27.2
30. 07. 2019 11:20,-0.7,27.4
30. 07. 2019 11:40,-0.62,27.6
30. 07. 2019 11:50,-0.66,27.5
30. 07. 2019 12:00,-0.6,27.8
30. 07. 2019 12:10,-0.63,27.7
30. 07. 2019 12:20,-0.62,27.9
30. 07. 2019 12:30,-0.67,27.8
30. 07. 2019 12:40,-0.69,27.9
30. 07. 2019 12:50,-0.69,28.1
30. 07. 2019 13:00,-0.68,28.1
30. 07. 2019 13:40,-0.63,28
30. 07. 2019 14:10,-0.81,28.5
30. 07. 2019 14:30,-0.83,28.4
30. 07. 2019 14:40,-0.81,28.1
30. 07. 2019 14:50,-0.89,28.4
30. 07. 2019 15:00,-0.87,28.8
30. 07. 2019 15:10,-0.81,28.9
30. 07. 2019 15:20,-0.81,28.9
30. 07. 2019 15:50,-0.61,26.8
30. 07. 2019 16:00,-0.53,26
30. 07. 2019 16:10,-0.65,26.1
30. 07. 2019 18:00,-0.68,26
30. 07. 2019 18:10,-0.7,26.1
30. 07. 2019 18:20,-0.7,26.2
30. 07. 2019 18:30,-0.7,26
30. 07. 2019 18:40,-0.66,25.8
30. 07. 2019 18:50,-0.7,25.8
30. 07. 2019 19:00,-0.71,25.8
30. 07. 2019 19:10,-0.71,25.6
30. 07. 2019 19:20,-0.67,25.1
30. 07. 2019 19:30,-0.69,24.5
30. 07. 2019 19:40,-0.7,24.3
30. 07. 2019 19:50,-0.72,24
30. 07. 2019 20:00,-0.74,23.6
30. 07. 2019 20:10,-0.72,23
30. 07. 2019 20:20,-0.73,22.7
30. 07. 2019 20:30,-0.7,22.7
30. 07. 2019 20:40,-0.71,22.6
30. 07. 2019 20:50,-0.72,22
30. 07. 2019 21:00,-0.74,21.6
30. 07. 2019 21:10,-0.76,21
30. 07. 2019 21:20,-0.73,20.3
30. 07. 2019 21:30,-0.71,20.3
30. 07. 2019 21:40,-0.7,20.1
30. 07. 2019 21:50,-0.64,20
30. 07. 2019 22:00,-0.63,20.1
30. 07. 2019 22:10,-0.62,19.8
30. 07. 2019 22:20,-0.65,19.8
30. 07. 2019 22:30,-0.7,19.5
30. 07. 2019 22:40,-0.73,19.6
30. 07. 2019 22:50,-0.78,19.8
30. 07. 2019 23:00,-0.75,20
30. 07. 2019 23:10,-0.75,19.8
30. 07. 2019 23:20,-0.73,19.8
30. 07. 2019 23:30,-0.74,19.6
30. 07. 2019 23:40,-0.79,19.5
30. 07. 2019 23:50,-0.83,19.5
31. 07. 2019 00:00,-0.84,19.5
31. 07. 2019 00:10,-0.88,19.4
31. 07. 2019 00:20,-0.87,19.7
31. 07. 2019 00:30,-0.87,20.2
31. 07. 2019 01:10,-0.81,20.3
31. 07. 2019 01:20,-0.82,20
31. 07. 2019 01:30,-0.81,19.8
31. 07. 2019 02:50,-0.74,19.3
31. 07. 2019 03:00,-0.65,19.4
31. 07. 2019 04:20,-0.62,19.7
31. 07. 2019 04:30,-0.67,19.5
31. 07. 2019 04:40,-0.7,19.1
31. 07. 2019 04:50,-0.78,19
31. 07. 2019 05:00,-0.97,18.7
31. 07. 2019 05:10,-0.99,18.7
31. 07. 2019 05:20,-0.93,18.6
31. 07. 2019 05:30,-0.99,18.7
31. 07. 2019 05:40,-0.99,18.8
31. 07. 2019 05:50,-1.02,19
31. 07. 2019 06:00,-0.97,19
31. 07. 2019 06:10,-0.96,19.4
31. 07. 2019 06:20,-0.95,19.8
31. 07. 2019 06:30,-0.99,20.2
31. 07. 2019 09:20,-0.91,24.7
31. 07. 2019 11:20,-0.86,27.6
31. 07. 2019 11:30,-0.78,27.9
31. 07. 2019 12:10,-0.87,28.1
31. 07. 2019 12:30,-0.84,27.1
31. 07. 2019 12:40,-0.83,27.6
31. 07. 2019 12:50,-0.75,26.9
31. 07. 2019 13:00,-0.73,27.1
31. 07. 2019 14:00,-0.88,24.4
31. 07. 2019 14:30,-0.98,24.7
31. 07. 2019 15:10,-0.77,22.1
31. 07. 2019 15:20,-0.94,21.6
31. 07. 2019 15:30,-0.69,21.4
31. 07. 2019 15:40,-0.52,21.4
31. 07. 2019 15:50,-0.56,21.4
31. 07. 2019 16:00,-0.72,21.8
31. 07. 2019 16:10,-0.52,21.9
31. 07. 2019 16:30,-0.52,21.5
31. 07. 2019 16:40,-0.68,21.7
31. 07. 2019 16:50,-0.62,21.7
31. 07. 2019 17:00,-0.57,21.2
31. 07. 2019 17:10,-0.51,21.1
31. 07. 2019 17:20,-0.69,21
31. 07. 2019 17:30,-0.79,21.1
31. 07. 2019 17:40,-0.94,20.8
31. 07. 2019 17:50,-0.43,20.9
31. 07. 2019 18:00,-0.57,21.2
31. 07. 2019 18:10,-0.73,21.4
31. 07. 2019 18:20,-0.67,21.5
31. 07. 2019 18:30,-0.48,22.2
31. 07. 2019 18:40,-0.62,22.3
31. 07. 2019 18:50,-0.65,22
31. 07. 2019 19:00,-0.66,21.7
31. 07. 2019 19:10,-0.64,21.4
31. 07. 2019 19:20,-0.68,21
31. 07. 2019 19:30,-0.67,20.9
31. 07. 2019 19:40,-0.74,20.7
31. 07. 2019 19:50,-0.71,20.4
31. 07. 2019 20:00,-0.65,20.2
31. 07. 2019 20:10,-0.7,19.9
31. 07. 2019 20:20,-0.67,19.7
31. 07. 2019 20:30,-0.64,19.5
31. 07. 2019 20:40,-0.51,19
31. 07. 2019 20:50,-0.58,19.1
31. 07. 2019 21:00,-0.72,18.8
31. 07. 2019 21:10,-0.66,18.6
31. 07. 2019 21:20,-0.61,18.6
31. 07. 2019 21:30,-0.68,18.3
31. 07. 2019 21:40,-0.67,18.1
31. 07. 2019 21:50,-0.66,17.9
31. 07. 2019 22:00,-0.62,17.8
31. 07. 2019 22:10,-0.69,17.6
31. 07. 2019 22:20,-0.61,17.4
31. 07. 2019 22:30,-0.61,17.3
31. 07. 2019 22:40,-0.55,17.3
31. 07. 2019 22:50,-0.52,17.2
31. 07. 2019 23:00,-0.49,16.9
31. 07. 2019 23:10,-0.59,16.8
31. 07. 2019 23:20,-0.62,16.8
31. 07. 2019 23:30,-0.66,16.9
31. 07. 2019 23:40,-0.74,16.8
31. 07. 2019 23:50,-0.78,16.7
1. 08. 2019 00:00,-0.72,16.7
1. 08. 2019 00:10,-0.71,16.4
1. 08. 2019 00:20,-0.67,16.2
1. 08. 2019 00:30,-0.66,16
1. 08. 2019 00:40,-0.77,15.9
1. 08. 2019 00:50,-0.81,16.2
1. 08. 2019 01:00,-0.81,16.2
1. 08. 2019 01:10,-0.75,16.5
1. 08. 2019 01:20,-0.68,16.9
1. 08. 2019 01:30,-0.75,17.3
1. 08. 2019 01:50,-0.91,17.8
1. 08. 2019 02:20,-0.91,18.6
1. 08. 2019 02:40,-0.82,18.4
1. 08. 2019 02:50,-0.81,18.7
1. 08. 2019 03:20,-0.66,18.3
1. 08. 2019 03:30,-0.64,18.4
1. 08. 2019 03:40,-0.71,18.5
1. 08. 2019 04:00,-0.76,17.9
1. 08. 2019 04:30,-0.56,18.2
1. 08. 2019 04:40,-0.48,17.7
1. 08. 2019 04:50,-0.53,17.8
1. 08. 2019 05:00,-0.52,17.9
1. 08. 2019 05:10,-0.55,17.9
1. 08. 2019 05:30,-0.52,17.9
1. 08. 2019 05:50,-0.48,18.1
1. 08. 2019 06:30,-0.52,19
1. 08. 2019 07:10,-0.48,19.7
1. 08. 2019 13:10,-0.82,26.2
1. 08. 2019 13:30,-0.92,26.8
1. 08. 2019 14:00,-0.94,26.7
1. 08. 2019 14:10,-0.86,26
1. 08. 2019 14:20,-0.84,26.6
1. 08. 2019 14:40,-0.83,26.8
1. 08. 2019 15:10,-0.78,27.4
1. 08. 2019 15:20,-0.81,27
1. 08. 2019 15:30,-0.75,27.2
1. 08. 2019 15:40,-0.76,27.1
1. 08. 2019 16:00,-0.83,27.5
1. 08. 2019 16:10,-0.76,27.4
1. 08. 2019 16:20,-0.85,26.8
1. 08. 2019 16:30,-0.9,27
1. 08. 2019 16:40,-0.85,27.3
1. 08. 2019 16:50,-0.89,27.1
1. 08. 2019 17:00,-0.84,27.1
1. 08. 2019 17:10,-0.77,26.8
1. 08. 2019 17:20,-0.8,26.6
1. 08. 2019 17:30,-0.79,26.6
1. 08. 2019 17:40,-0.78,26.5
1. 08. 2019 17:50,-0.83,26.6
1. 08. 2019 18:00,-0.81,26.6
1. 08. 2019 18:10,-0.83,26.2
1. 08. 2019 18:20,-0.81,26.1
1. 08. 2019 18:30,-0.78,25.9
1. 08. 2019 18:40,-0.75,25.7
1. 08. 2019 18:50,-0.7,25.2
1. 08. 2019 19:00,-0.74,24.9
1. 08. 2019 19:10,-0.72,24.1
1. 08. 2019 19:20,-0.73,23.3
1. 08. 2019 19:30,-0.75,22.9
1. 08. 2019 19:40,-0.77,22.5
1. 08. 2019 19:50,-0.77,22.2
1. 08. 2019 20:00,-0.75,22
1. 08. 2019 20:10,-0.76,21.8
1. 08. 2019 20:20,-0.82,21.4
1. 08. 2019 20:30,-0.78,21
1. 08. 2019 20:40,-0.8,21.2
1. 08. 2019 20:50,-0.74,21.2
1. 08. 2019 21:00,-0.79,21
1. 08. 2019 21:10,-0.82,20.9
1. 08. 2019 21:20,-0.8,20.9
1. 08. 2019 21:30,-0.79,20.9
1. 08. 2019 21:40,-0.77,20.7
1. 08. 2019 21:50,-0.75,20.8
1. 08. 2019 22:50,-0.85,20.4
1. 08. 2019 23:00,-0.89,20.1
1. 08. 2019 23:10,-0.77,19.7
1. 08. 2019 23:20,-0.83,19.2
1. 08. 2019 23:30,-0.8,19.3
1. 08. 2019 23:40,-0.83,19.5
2. 08. 2019 01:00,-0.97,19.3
2. 08. 2019 01:10,-0.96,18.7
2. 08. 2019 01:20,-0.88,18.5
2. 08. 2019 01:30,-0.79,18.5
2. 08. 2019 01:40,-0.82,18.4
2. 08. 2019 01:50,-0.82,18.4
2. 08. 2019 02:00,-0.74,18.3
2. 08. 2019 02:10,-0.75,18
2. 08. 2019 02:20,-0.71,18
2. 08. 2019 02:30,-0.77,18.1
2. 08. 2019 02:40,-0.76,18.6
2. 08. 2019 02:50,-0.67,18.7
2. 08. 2019 03:00,-0.75,18.4
2. 08. 2019 03:10,-0.67,17.7
2. 08. 2019 03:20,-0.79,17.4
2. 08. 2019 03:30,-0.77,17.3
2. 08. 2019 03:40,-0.82,17.2
2. 08. 2019 03:50,-0.92,17.5
2. 08. 2019 04:00,-0.95,17.6
2. 08. 2019 04:10,-0.98,17.6
2. 08. 2019 07:10,-0.8,20.1
2. 08. 2019 07:20,-0.72,20.6
2. 08. 2019 07:30,-0.73,20.3
2. 08. 2019 07:40,-0.83,20.5
2. 08. 2019 07:50,-0.86,21
2. 08. 2019 08:00,-0.8,21.1
2. 08. 2019 08:10,-0.81,20.9
2. 08. 2019 08:40,-0.78,20.7
2. 08. 2019 08:50,-0.77,20.7
2. 08. 2019 09:00,-0.77,20.7
2. 08. 2019 09:10,-0.74,20.8
2. 08. 2019 09:20,-0.75,21.2
2. 08. 2019 09:30,-0.74,21.6
2. 08. 2019 09:40,-0.72,21.8
2. 08. 2019 09:50,-0.81,21.7
2. 08. 2019 10:00,-0.8,22.3
2. 08. 2019 10:10,-0.69,23.2
2. 08. 2019 10:20,-0.75,23.3
2. 08. 2019 10:30,-0.76,22.9
2. 08. 2019 10:40,-0.74,22.4
2. 08. 2019 10:50,-0.85,22.3
2. 08. 2019 11:00,-0.78,21.8
2. 08. 2019 11:10,-0.69,21.3
2. 08. 2019 11:30,-0.68,19.9
2. 08. 2019 11:40,-0.7,20.3
2. 08. 2019 11:50,-0.72,20.9
2. 08. 2019 12:00,-0.74,21.3
2. 08. 2019 15:00,-0.75,21.5
2. 08. 2019 15:10,-0.82,21.2
2. 08. 2019 15:20,-0.75,21.2
2. 08. 2019 19:00,-0.79,18.3
2. 08. 2019 19:30,-0.7,18.2
2. 08. 2019 19:40,-0.62,18
2. 08. 2019 19:50,-0.51,18.1
